DIM_COUNTRY_CODE,Year,Cause_Code,Cause_Title,DIM_AGEGROUP_CODE,DIM_SEX_CODE,ATTR_POPULATION_NUMERIC,VAL_YLL_RATE100K_NUMERIC,VAL_YLL_COUNT_NUMERIC,VAL_YLL_COUNT_HIGH,VAL_YLL_COUNT_LOW,VAL_YLD_RATE100K_NUMERIC,VAL_YLD_COUNT_NUMERIC,VAL_YLD_COUNT_HIGH,VAL_YLD_COUNT_LOW,DALY_Rate_per_100K,VAL_DALY_COUNT_NUMERIC,VAL_DALY_COUNT_HIGH,VAL_DALY_COUNT_LOW,Death_Rate_per_100K,VAL_DTHS_COUNT_NUMERIC,VAL_DTHS_COUNT_HIGH,VAL_DTHS_COUNT_LOW,VAL_PROP_DTHS_PERCENT,VAL_PROP_YLD_PERCENT,VAL_PROP_DALY_PERCENT,FLAG_LEVEL,FLAG_TREEMAP,DIM_CAUSE_GROUP,FLAG_SINGLE_CAUSE,FLAG_RANKABLE,FLAG_SHOW,X_RecordID,Sys_PK,Sys_RowTitle,Sys_Version,Sys_VersionID,Sys_OriginCode,Sys_LoadBy,Sys_CommitDateUtc,Sys_FirstLoadBy,Sys_FirstCommitDateUtc,Sys_ID,Sys_BatchID,Sys_FirstBatchID,contin,System,Continent
ETH,2000,10,"Communicable, maternal, perinatal and nutritional conditions",TOTAL,MALE,33640494,79090.05,26606282.77,44301885.04,14730855.23,2812.31,946073.79,1551120.95,532512.35,81902.35,27552356.56,45853006,15263367.59,1048.86,352841.35,579764.64,198558.08,68.2,32.1,72.2,1,0,1,0,0,1,002fff02-0cbf-4c6d-895f-9f7cd746c10a,-2147447527,-,1,002FFF02-0CBF-4C6D-895F-9F7CD746C10A.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,002fff02-0cbf-4c6d-895f-9f7cd746c10a,589626,589626,AF17,OBGYN,Africa
ETH,2000,20,Infectious and parasitic diseases,TOTAL,MALE,33640494,40982.62,13786756.31,25504539.96,6257247.68,1518.65,510882.05,833100.2,289831.15,42501.27,14297638.36,26337640.16,6547078.83,604.45,203339.14,366247.86,96631.01,39.3,17.3,37.5,2,0,1,0,0,1,0bf287b3-a346-41fd-9072-c9cbad687438,-2147447526,-,1,0BF287B3-A346-41FD-9072-C9CBAD687438.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,0bf287b3-a346-41fd-9072-c9cbad687438,589626,589626,AF17,Unspecified,Africa
ETH,2000,30,Tuberculosis,TOTAL,MALE,33640494,7541.01,2536833.47,3726978.14,1101559.19,178.11,59917.19,97380.96,31819.48,7719.12,2596750.67,3824359.1,1133378.67,160.87,54117.12,81230.67,27294.77,10.5,2,6.8,3,1,1,1,1,1,3dd1be73-162d-435f-8e2a-320eb6816217,-2147447525,-,1,3DD1BE73-162D-435F-8E2A-320EB6816217.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,3dd1be73-162d-435f-8e2a-320eb6816217,589626,589626,AF17,Resp,Africa
ETH,2000,40,STDs excluding HIV,TOTAL,MALE,33640494,383.44,128992.63,294695.26,43426.42,18.65,6272.41,11339.62,3055.5,402.09,135265.04,306034.88,46481.92,4.36,1465.97,3651.62,478.69,0.3,0.2,0.4,3,0,1,0,0,1,da36f4b5-4114-48d9-8604-ba0c08fbc6be,-2147447524,-,1,DA36F4B5-4114-48D9-8604-BA0C08FBC6BE.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,da36f4b5-4114-48d9-8604-ba0c08fbc6be,589626,589626,AF17,OBGYN,Africa
ETH,2000,50,Syphilis,TOTAL,MALE,33640494,381.62,128379.54,238668,72217.39,7.92,2664.37,4298.87,1504.02,389.54,131043.91,242966.86,73721.42,4.31,1450.25,2991.66,789.39,0.3,0.1,0.3,4,1,1,1,1,1,a9816939-ed7b-4739-9793-c1ac82fe1039,-2147447523,-,1,A9816939-ED7B-4739-9793-C1AC82FE1039.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,a9816939-ed7b-4739-9793-c1ac82fe1039,589626,589626,AF17,OBGYN,Africa
ETH,2000,60,Chlamydia,TOTAL,MALE,33640494,0,0,0,0,1.46,492.29,948.59,202.17,1.46,492.29,948.59,202.17,0,0,0,0,0,0,0,4,1,1,1,1,1,6f8fe703-ba89-4b98-9672-f548a978720c,-2147447522,-,1,6F8FE703-BA89-4B98-9672-F548A978720C.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,6f8fe703-ba89-4b98-9672-f548a978720c,589626,589626,AF17,OBGYN,Africa
ETH,2000,70,Gonorrhoea,TOTAL,MALE,33640494,1,335.01,2211.23,39.61,0.9,301.34,653.6,101.66,1.89,636.35,2864.83,141.27,0.02,8.3,56.52,0.98,0,0,0,4,1,1,1,1,1,839e9207-fae4-4ad7-a15c-3491844dff31,-2147447521,-,1,839E9207-FAE4-4AD7-A15C-3491844DFF31.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,839e9207-fae4-4ad7-a15c-3491844dff31,589626,589626,AF17,OBGYN,Africa
ETH,2000,80,Trichomoniasis,TOTAL,MALE,33640494,0,0,0,0,0.37,124.12,292.27,40.8,0.37,124.12,292.27,40.8,0,0,0,0,0,0,0,4,1,1,1,1,1,250a7bf4-e5e7-494d-864a-f672c5fbbcf6,-2147447520,-,1,250A7BF4-E5E7-494D-864A-F672C5FBBCF6.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,250a7bf4-e5e7-494d-864a-f672c5fbbcf6,589626,589626,AF17,OBGYN,Africa
ETH,2000,85,Genital herpes,TOTAL,MALE,33640494,0,0,0,0,3.79,1275.84,2601.31,525.1,3.79,1275.84,2601.31,525.1,0,0,0,0,0,0,0,4,1,1,1,1,1,2b211b5b-7eab-4633-8a83-0920dcbbbb42,-2147447519,-,1,2B211B5B-7EAB-4633-8A83-0920DCBBBB42.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,2b211b5b-7eab-4633-8a83-0920dcbbbb42,589626,589626,AF17,OBGYN,Africa
ETH,2000,90,Other STDs,TOTAL,MALE,33640494,0.83,278.08,1806.08,33.02,4.2,1414.45,2544.98,681.74,5.03,1692.53,4351.06,714.76,0.02,7.42,50.46,0.88,0,0,0,4,1,1,1,0,1,3d2b55f8-b60c-4747-934a-4845b72af816,-2147447518,-,1,3D2B55F8-B60C-4747-934A-4845B72AF816.1,SYS_DATA_LOAD,-,2024-08-06T01:23:16Z,-,2024-08-06T01:23:16Z,3d2b55f8-b60c-4747-934a-4845b72af816,589626,589626,AF17,OBGYN,Africa
